Column1,id_sampl,Survey,strata_id,psu,nr_hhs,locality_code,gov_code,gov_name,gov_area,enum_area,oslo_area,Oslo_Area2,Strata,locality.name,West.Bank.or.Gaza.Strip,psu_id,pop_numbers,SumDist,proba,survey_buffer,Column2
137,id_3601,16,Jerusalem(j2)_C,1.98592158171137e-313,34,401955,40,Jerusalem(j2),Jerusalem(j2)_C,3,3,_C,Jerusalem(j2)_C,???????,West Bank,1.98592158171137e-313,34,7583,0.004483714,16,47.05882353
138,id_3615,16,Jerusalem(j2)_C,1.98594628499366e-313,44,401960,40,Jerusalem(j2),Jerusalem(j2)_C,3,3,_C,Jerusalem(j2)_C,???? ???????,West Bank,1.98594628499366e-313,44,7583,0.005802453,16,36.36363636
139,id_3649,8,Jerusalem(j2)_C,1.98606979152381e-313,72,401985,40,Jerusalem(j2),Jerusalem(j2)_C,1,3,_C,Jerusalem(j2)_C,??????? ???? ????????,West Bank,1.98606979152381e-313,72,7583,0.009494923,8,11.11111111
140,id_3671,8,Jerusalem(j2)_C,1.98614390137069e-313,48,402000,40,Jerusalem(j2),Jerusalem(j2)_C,1,3,_C,Jerusalem(j2)_C,??????? ????????,West Bank,1.98614390137069e-313,48,7583,0.006329949,8,16.66666667
142,id_3699,8,Jerusalem(j2)_C,1.98621802109888e-313,104,402015,40,Jerusalem(j2),Jerusalem(j2)_C,3,3,_C,Jerusalem(j2)_C,????????,West Bank,1.98621802109888e-313,104,7583,0.013714889,8,7.692307692
144,id_3746,8,Jerusalem(j2)_C,1.9863415869169e-313,65,402040,40,Jerusalem(j2),Jerusalem(j2)_C,13,3,_C,Jerusalem(j2)_C,???????,West Bank,1.9863415869169e-313,65,7583,0.008571805,8,12.30769231
145,id_3751,8,Jerusalem(j2)_C,1.98634161162018e-313,99,402040,40,Jerusalem(j2),Jerusalem(j2)_C,18,3,_C,Jerusalem(j2)_C,???????,West Bank,1.98634161162018e-313,99,7583,0.013055519,8,8.080808081
147,id_3767,8,Jerusalem(j2)_C,1.9863416659674e-313,52,402040,40,Jerusalem(j2),Jerusalem(j2)_C,29,3,_C,Jerusalem(j2)_C,???????,West Bank,1.9863416659674e-313,52,7583,0.006857444,8,15.38461538
148,id_3771,24,Jerusalem(j2)_C,1.98634168078937e-313,99,402040,40,Jerusalem(j2),Jerusalem(j2)_C,32,3,_C,Jerusalem(j2)_C,???????,West Bank,1.98634168078937e-313,99,7583,0.013055519,24,24.24242424
151,id_3801,8,Jerusalem(j2)_C,1.98663801148244e-313,38,402100,40,Jerusalem(j2),Jerusalem(j2)_C,10,3,_C,Jerusalem(j2)_C,??????????????,West Bank,1.98663801148244e-313,38,7583,0.005011209,8,21.05263158
